"appliance","error","reason"
"alwaysOn","159.949375%","energy consumption"
"refrigeration","51.2249749957639%","energy consumption"
"lighting","0%","energy consumption"
"entertainment","0%","energy consumption"
"heatPumps","0%","energy consumption"
"dishWasher","0%","energy consumption"
"dishWasher","0%","event recognition"
"washingMachine","63.8201712654614%","energy consumption"
"washingMachine","66.6666666666667%","event recognition"
"hob","0%","energy consumption"
"hob","0%","event recognition"
"oven","0%","energy consumption"
"oven","0%","event recognition"
"dryer","57.2730568031773%","energy consumption"
"dryer","0%","event recognition"
"electricShower","0%","energy consumption"
"electricShower","0%","event recognition"
"electricVehicle","0%","energy consumption"
"electricVehicle","0%","event recognition"
"dishWasher","0%","false positive"
"washingMachine","0%","false positive"
"hob","0%","false positive"
"oven","0%","false positive"
"dryer","0%","false positive"
"electricShower","0%","false positive"
"electricVehicle","0%","false positive"
"Total Error","253.288979102253%"," "
"Accuracy","-153.288979102253%"," "
